Date,BTC_Price,BTC_Volume,ETH_Price,ETH_Volume,NVDA_Close,NVDA_Volume,AMD_Close,AMD_Volume,INTC_Close,INTC_Volume,GPU_Stock_Index,GPU_Launch_Dates
2021-01-05,33992.4296875,67547324782,1100.006103515625,41535932781,13.367902755737305,322760000.0,92.7699966430664,34208000.0,45.752723693847656,24866600.0,377.97634564007365,0
2021-01-06,36824.36328125,75289433811,1207.1121826171875,44699914188,12.579825401306152,580424000.0,90.33000183105469,51911700.0,46.19569396972656,36809600.0,363.67812611787855,0
2021-01-07,39371.04296875,84762141031,1225.6781005859375,40468027280,13.307320594787598,461480000.0,95.16000366210938,42897200.0,47.18107986450195,32092300.0,383.0409019952824,0
2021-01-08,40797.609375,88107519480,1224.1971435546875,44334826666,13.240255355834961,292528000.0,94.58000183105469,39816400.0,46.69291305541992,34625400.0,380.7735657136748,0
2021-01-09,40254.546875,61984162837,1281.0772705078125,33233105361,13.240255355834961,,94.58000183105469,,46.69291305541992,,380.7735657136748,0
2021-01-10,38356.44140625,79980747690,1262.2467041015625,40616938053,13.240255355834961,,94.58000183105469,,46.69291305541992,,380.7735657136748,0
2021-01-11,35566.65625,123320567399,1090.1453857421875,60733630300,13.584057807922363,518344000.0,97.25,48600200.0,46.59346389770508,32925000.0,390.4681288501072,0
2021-01-12,33922.9609375,74773277909,1043.4345703125,37494601692,13.447683334350586,291476000.0,95.36000061035156,67672300.0,48.130306243896484,39883900.0,385.5966933235835,1
2021-01-13,37316.359375,69364315979,1130.7393798828125,30109792795,13.494553565979004,210028000.0,91.77999877929688,60712900.0,51.4842414855957,124070700.0,380.2024421683807,1
2021-01-14,39187.328125,63615990033,1218.4530029296875,33410915929,13.16396427154541,283120000.0,90.79000091552734,53408200.0,53.56350326538086,74680900.0,375.21039402155174,0
2021-01-15,36825.3671875,67760757881,1171.8345947265625,35972039310,12.824152946472168,277780000.0,88.20999908447266,49340300.0,52.053775787353516,50265400.0,364.95997540911793,0
2021-01-16,36178.140625,57706187875,1233.53759765625,32319240157,12.824152946472168,,88.20999908447266,,52.053775787353516,,364.95997540911793,0
2021-01-17,35791.27734375,52359854336,1230.1722412109375,29258032819,12.824152946472168,,88.20999908447266,,52.053775787353516,,364.95997540911793,0
2021-01-18,36630.07421875,49511702429,1257.279541015625,25817455560,12.824152946472168,,88.20999908447266,,52.053775787353516,,364.95997540911793,0
2021-01-19,36069.8046875,57244195486,1377.2958984375,47195935190,12.989447593688965,226188000.0,89.44999694824219,45115100.0,52.42442321777344,35647100.0,369.73470180992456,0
2021-01-20,35547.75,66834573161,1382.2740478515625,46784030909,13.329010009765625,258572000.0,88.75,35185800.0,53.039161682128906,28701300.0,372.57279706012713,0
2021-01-21,30825.69921875,75643067688,1121.5709228515625,45932464754,13.829380989074707,337780000.0,91.52999877929688,54221900.0,56.465415954589844,86519500.0,386.09567748771923,0
2021-01-22,33005.76171875,77207272511,1236.51220703125,43918338506,13.674805641174316,246820000.0,92.79000091552734,71294700.0,51.222076416015625,85729300.0,384.35338441009327,0
2021-01-23,32067.642578125,48354737975,1230.9906005859375,27253895441,13.674805641174316,,92.79000091552734,,51.222076416015625,,384.35338441009327,0
2021-01-24,32289.37890625,48643830599,1391.609375,36418163554,13.674805641174316,,92.79000091552734,,51.222076416015625,,384.35338441009327,0
2021-01-25,32366.392578125,59897054838,1324.414794921875,43565777745,13.615718841552734,251112000.0,94.12999725341797,55086900.0,50.11915969848633,61968500.0,385.9556905956296,0
2021-01-26,32569.849609375,60255421470,1357.05810546875,41572917750,13.398319244384766,163980000.0,94.70999908447266,59449100.0,49.911231994628906,31485900.0,384.510344504072,1
2021-01-27,30432.546875,62576762015,1253.1871337890625,39394416990,12.882242202758789,371272000.0,88.83999633789062,73341200.0,48.446712493896484,49722900.0,365.2057723263275,0
2021-01-28,33466.09765625,76517157706,1332.4921875,34637234789,13.01512336730957,228316000.0,87.5199966430664,47048400.0,50.68870544433594,49202600.0,365.08219094248676,0
2021-01-29,34316.38671875,117894572511,1382.5228271484375,53611955259,12.9540433883667,271552000.0,85.63999938964844,56735800.0,50.18244171142578,37256200.0,360.1152678536319,0
2021-01-30,34269.5234375,65141828798,1376.115478515625,30616574234,12.9540433883667,,85.63999938964844,,50.18244171142578,,360.1152678536319,0
2021-01-31,33114.359375,52754542671,1314.9862060546875,25198853581,12.9540433883667,,85.63999938964844,,50.18244171142578,,360.1152678536319,0
2021-02-01,33537.17578125,61400400660,1369.04052734375,29210670920,13.200613021850586,217204000.0,87.66000366210938,42359300.0,51.24919509887695,26926600.0,367.8531289196969,0
2021-02-02,35510.2890625,63088585433,1515.1937255859375,45437142801,13.519487380981445,220440000.0,88.86000061035156,33850000.0,52.433467864990234,23580900.0,374.76342918902907,0
2021-02-03,37472.08984375,61166818159,1660.9095458984375,41874566399,13.493306159973145,245408000.0,87.88999938964844,32312900.0,52.14418029785156,21893200.0,372.25001079402733,0
2021-02-04,36926.06640625,68838074392,1594.7626953125,44396871836,13.626689910888672,201340000.0,87.83999633789062,30791600.0,53.470245361328125,29853800.0,374.3780886960713,0
2021-02-05,38144.30859375,58598066402,1718.65087890625,40108628454,13.553643226623535,169152000.0,87.9000015258789,30268700.0,52.91545104980469,23432600.0,373.36657038294373,0
2021-02-06,39266.01171875,71326033653,1677.8468017578125,39873420648,13.553643226623535,,87.9000015258789,,52.91545104980469,,373.36657038294373,0
2021-02-07,38903.44140625,65500641143,1614.227783203125,39889440151,13.553643226623535,,87.9000015258789,,52.91545104980469,,373.36657038294373,0
2021-02-08,46196.46484375,101467222687,1746.6168212890625,48012285956,14.399063110351562,434624000.0,91.47000122070312,47639900.0,53.80677032470703,34358300.0,391.402981580169,0
2021-02-09,46481.10546875,91809846886,1768.0350341796875,44180727529,14.224042892456055,287560000.0,90.91000366210938,37596400.0,53.46115493774414,28754100.0,387.96992960550847,0
2021-02-10,44918.18359375,87301089896,1744.243408203125,41916084617,14.723666191101074,485352000.0,92.3499984741211,42441300.0,53.533912658691406,16325100.0,396.98211465435395,0
2021-02-11,47909.33203125,81388911810,1783.7979736328125,36021495262,15.208829879760742,450828000.0,92.66000366210938,35571000.0,55.17103958129883,27539100.0,404.1948271573678,0
2021-02-12,47504.8515625,76555041196,1843.5325927734375,37905036865,14.920124053955078,374756000.0,93.7699966430664,38538400.0,56.21697998046875,26214200.0,403.6497218567216,0
2021-02-13,47105.515625,70250456155,1814.10986328125,35359490535,14.920124053955078,,93.7699966430664,,56.21697998046875,,403.6497218567216,0
2021-02-14,48717.2890625,71248675228,1805.0841064453125,31439114900,14.920124053955078,,93.7699966430664,,56.21697998046875,,403.6497218567216,0
2021-02-15,47945.05859375,77069903166,1779.791015625,38955610883,14.920124053955078,,93.7699966430664,,56.21697998046875,,403.6497218567216,0
2021-02-16,49199.87109375,77049582886,1781.0675048828125,34269369268,15.28811264038086,321960000.0,91.45999908447266,35105900.0,56.817256927490234,26326300.0,403.3972710628646,0
2021-02-17,52149.0078125,80820545404,1848.458251953125,35955412703,14.865028381347656,274756000.0,89.94000244140625,32245500.0,56.253360748291016,21055400.0,394.8792080922833,0
2021-02-18,51679.796875,52054723579,1937.44921875,28255902969,14.788239479064941,233868000.0,88.63999938964844,35624900.0,56.03508377075195,17846100.0,391.1004514572814,0
2021-02-19,55888.1328125,63495496918,1960.164794921875,26268814253,14.88547134399414,271724000.0,89.58000183105469,29548300.0,57.30839157104492,28290100.0,394.87735861457304,0
2021-02-20,56099.51953125,68145460026,1919.5340576171875,34696091102,14.88547134399414,,89.58000183105469,,57.30839157104492,,394.87735861457304,0
